ID,Event_Type,Location,Venue,Date,Start_Time,End_Time,Duration
346,Subscription Season,"Manhattan, NY",Avery Fisher Hall,08/03/13,20:00,22:28,148
410,Subscription Season,"Manhattan, NY",Avery Fisher Hall,01/06/13,20:00,22:28,148
745,Subscription Season,"Manhattan, NY",Avery Fisher Hall,19/12/14,14:00,16:28,148
17,Subscription Season,"Manhattan, NY",Avery Fisher Hall,06/10/11,19:30,21:58,148
219,Parks,"Manhattan, NY",Great Lawn,16/07/12,20:00,22:29,149
388,Tour,"Istanbul, TURKEY",Halic Auditorium,03/05/13,20:00,22:29,149
417,Saturday Matinee,"Manhattan, NY",Avery Fisher Hall,08/06/13,14:00,16:29,149
427,Subscription Season,"Manhattan, NY",Avery Fisher Hall,22/06/13,20:00,22:29,149
157,Chamber Concert (Private),"Manhattan, NY",Brick Church,23/04/12,19:00,21:29,149
171,Tour,"San Francisco, CA",Davies Symphony Hall,13/05/12,19:00,21:29,149
232,Special,"Manhattan, NY",Avery Fisher Hall,27/09/12,19:30,21:59,149
329,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,12/02/13,19:30,21:59,149
843,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,15/05/15,19:30,21:59,149
873,Tour,"Shanghai, CHINA",Shanghai Symphony Hall,05/07/15,19:30,21:59,149
3,Insight Series,"Manhattan, NY",The Stanley H. Kaplan Penthouse,09/09/11,18:30,21:00,150
35,Subscription Season,"Manhattan, NY",Avery Fisher Hall,29/10/11,20:00,22:30,150
383,Subscription Season,"Manhattan, NY",Avery Fisher Hall,24/04/13,19:30,22:00,150
465,Subscription Season,"Manhattan, NY",Avery Fisher Hall,05/10/13,20:00,22:30,150
613,Subscription Season,"Manhattan, NY",Avery Fisher Hall,15/05/14,19:30,22:00,150
930,Subscription Season,"Manhattan, NY",David Geffen Hall,20/11/15,14:00,16:30,150
940,Subscription Season,"Manhattan, NY",David Geffen Hall,11/12/15,20:00,22:30,150
499,Private Concert,"Manhattan, NY",The Stanley H. Kaplan Penthouse,18/11/13,19:00,21:30,150
29,Subscription Season,"Manhattan, NY",Avery Fisher Hall,20/10/11,19:30,22:01,151
236,Subscription Season,"Manhattan, NY",Avery Fisher Hall,02/10/12,19:30,22:01,151
340,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,28/02/13,19:30,22:01,151
525,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,21/12/13,14:00,16:31,151
874,Tour,"Shanghai, CHINA",Shanghai Poly Grand Theatre,06/07/15,19:30,22:01,151
965,Young People's Concerts for Schools,"Manhattan, NY",David Geffen Hall,20/01/16,00:00,02:31,151
303,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,06/01/13,00:30,03:02,152
9,Subscription Season,"Manhattan, NY",Avery Fisher Hall,24/09/11,20:00,22:32,152
23,Subscription Season,"Manhattan, NY",Avery Fisher Hall,13/10/11,19:30,22:02,152
60,Private Concert,"Manhattan, NY",Doubles Club at the Sherry Netherland Hotel,06/12/11,20:30,23:02,152
224,Tour,"Vail, CO",Gerald R. Ford Amphitheater,22/07/12,18:00,20:32,152
244,Subscription Season,"Manhattan, NY",Avery Fisher Hall,11/10/12,19:30,22:02,152
487,Contact!,"Manhattan, NY",SubCulture,04/11/13,19:30,22:02,152
846,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,19/05/15,19:30,22:02,152
952,Subscription Season,"Manhattan, NY",David Geffen Hall,02/01/16,20:00,22:32,152
559,Tour,"Nagoya, JAPAN",Concert Hall (Aichi),09/02/14,14:00,16:33,153
782,Subscription Season,"Manhattan, NY",Avery Fisher Hall,13/02/15,14:00,16:33,153
67,Subscription Season,"Manhattan, NY",Avery Fisher Hall,14/12/11,19:30,22:03,153
86,Subscription Season,"Manhattan, NY",Avery Fisher Hall,18/01/12,19:30,22:03,153
413,Subscription Season,"Manhattan, NY",Avery Fisher Hall,06/06/13,19:30,22:03,153
768,Subscription Season,"Manhattan, NY",Avery Fisher Hall,29/01/15,19:30,22:03,153
45,Chamber,"Staten Island, NY","Center for the Arts, College of Staten Island / CUNY",14/11/11,19:30,22:04,154
97,Subscription Season,"Manhattan, NY",Avery Fisher Hall,28/01/12,20:00,22:34,154
253,Subscription Season,"Manhattan, NY",Avery Fisher Hall,23/10/12,19:30,22:04,154
299,New Year's Eve,"Manhattan, NY",Avery Fisher Hall,31/12/12,19:30,22:04,154
353,Subscription Season,"Manhattan, NY",Avery Fisher Hall,16/03/13,20:00,22:34,154
472,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,12/10/13,14:00,16:34,154
483,Subscription Season,"Manhattan, NY",Avery Fisher Hall,31/10/13,19:30,22:04,154
490,Subscription Season,"Manhattan, NY",Avery Fisher Hall,09/11/13,20:00,22:34,154
595,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,12/04/14,14:00,16:34,154
631,NY Phil Biennial,"Manhattan, NY",Avery Fisher Hall,30/05/14,20:00,22:34,154
655,Festival,"Manhattan, NY",Avery Fisher Hall,24/06/14,19:30,22:04,154
718,Subscription Season,"Manhattan, NY",Avery Fisher Hall,15/11/14,20:00,22:34,154
729,Saturday Matinee,"Manhattan, NY",Avery Fisher Hall,29/11/14,14:00,16:34,154
789,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,21/02/15,14:00,16:34,154
791,Subscription Season,"Manhattan, NY",Avery Fisher Hall,26/02/15,19:30,22:04,154
248,Chamber Concert (Private),"Manhattan, NY",The Stanley H. Kaplan Penthouse,15/10/12,19:00,21:34,154
31,Subscription Season,"Manhattan, NY",Avery Fisher Hall,22/10/11,20:00,22:35,155
71,Contact!,"Manhattan, NY",Symphony Space,17/12/11,20:00,22:35,155
257,Subscription Season,"Manhattan, NY",Avery Fisher Hall,27/10/12,20:00,22:35,155
276,Subscription Season,"Manhattan, NY",Avery Fisher Hall,29/11/12,19:30,22:05,155
364,Subscription Season,"Manhattan, NY",Avery Fisher Hall,03/04/13,19:30,22:05,155
434,Summertime Classics,"Manhattan, NY",Avery Fisher Hall,05/07/13,20:00,22:35,155
578,Special,"Manhattan, NY",Avery Fisher Hall,18/03/14,19:00,21:35,155
697,Subscription Season,"Manhattan, NY",Avery Fisher Hall,18/10/14,20:00,22:35,155
800,Contact!,"Manhattan, NY",Metropolitan Museum of Art,07/03/15,19:00,21:35,155
822,Tour,"Dublin, IRELAND",National Concert Hall,16/04/15,20:00,22:35,155
851,Special,"Manhattan, NY",The Cathedral Church of Saint John the Divine,25/05/15,20:00,22:35,155
104,Tour,"Frankfurt, GERMANY",Alte Oper,09/02/12,20:00,22:36,156
296,Subscription Season,"Manhattan, NY",Avery Fisher Hall,22/12/12,19:30,22:06,156
516,Subscription Season,"Manhattan, NY",Avery Fisher Hall,13/12/13,14:00,16:36,156
570,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,06/03/14,19:30,22:06,156
816,Subscription Season,"Manhattan, NY",Avery Fisher Hall,28/03/15,20:00,22:36,156
875,Tour - Young People's Concert,"Shanghai, CHINA",Shanghai Symphony Hall,09/07/15,19:30,22:06,156
947,Subscription Season,"Manhattan, NY",David Geffen Hall,19/12/15,20:00,22:36,156
1011,Subscription Season,"Manhattan, NY",David Geffen Hall,19/03/16,20:00,22:36,156
386,Non-Subscription,"Manhattan, NY",Carnegie Hall,26/04/13,20:00,22:37,157
707,Subscription Season,"Manhattan, NY",Avery Fisher Hall,01/11/14,20:00,22:37,157
892,Subscription Season,"Manhattan, NY",David Geffen Hall,26/09/15,20:00,22:37,157
39,Tour,"Montreal, CANADA",L'Addresse Symphonique,05/11/11,14:30,17:07,157
128,Subscription Season,"Manhattan, NY",Avery Fisher Hall,15/03/12,19:30,22:07,157
330,Subscription Season,"Manhattan, NY",Avery Fisher Hall,14/02/13,19:30,22:07,157
408,Rush Hour,"Manhattan, NY",Avery Fisher Hall,30/05/13,18:45,21:22,157
899,Tour,"Ann Arbor, MI",Hill Auditorium,10/10/15,20:30,23:07,157
114,Subscription Season,"Manhattan, NY",Avery Fisher Hall,25/02/12,20:00,22:38,158
166,Subscription Season,"Manhattan, NY",Avery Fisher Hall,05/05/12,20:00,22:38,158
473,Subscription Season,"Manhattan, NY",Avery Fisher Hall,17/10/13,19:30,22:08,158
944,Subscription Season,"Manhattan, NY",David Geffen Hall,16/12/15,19:30,22:08,158
987,Chamber,"Manhattan, NY",Merkin Concert Hall,14/02/16,15:00,17:38,158
563,Tour,"Tokyo, JAPAN",Suntory Hall,13/02/14,19:00,21:38,158
273,Subscription Season,"Manhattan, NY",Avery Fisher Hall,24/11/12,20:00,22:39,159
362,Soloist Recital,"Manhattan, NY",Holy Trinity Lutheran Church,27/03/13,19:30,22:09,159
399,Tour,"Vienna, AUSTRIA",Wiener Konzerthaus (Grosser Saal),16/05/13,19:30,22:09,159
424,Chamber Concert (Private),"Manhattan, NY",St. Regis Hotel,17/06/13,19:00,21:39,159
474,Subscription Season,"Manhattan, NY",Avery Fisher Hall,18/10/13,14:00,16:39,159
993,Subscription Season,"Manhattan, NY",David Geffen Hall,26/02/16,14:00,16:39,159
