Date,Day,Year,Tourn,Rnd,Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Tries,Team_2_Tries,Team_1_Points,Team_2_Points,Venue,Neut.
15 Dec 1963,Sun,1963,,,FRA,ROM,6,6,2,1,2,2,Stade Toulouse,N
21 Dec 1963,Sat,1963,TO,,WAL,NZL,0,6,0,0,0,4,Cardiff Arms Park,N
04 Jan 1964,Sun,1964,TO,,ENG,NZL,0,14,0,2,0,4,"Twickenham, London",N
04 Jan 1964,Sun,1964,5N,,SCO,FRA,10,0,2,0,4,0,"Murrayfield, Edinburgh",N
18 Jan 1964,Sun,1964,TO,,SCO,NZL,0,0,0,0,2,2,"Murrayfield, Edinburgh",N
18 Jan 1964,Sun,1964,5N,,ENG,WAL,6,6,2,2,2,2,"Twickenham, London",N
01 Feb 1964,Sat,1964,5N,,WAL,SCO,11,3,2,1,4,0,Cardiff Arms Park,N
08 Feb 1964,Sat,1964,TO,,FRA,NZL,3,12,0,2,0,4,"Stade Colombes, Paris",N
08 Feb 1964,Sat,1964,5N,,ENG,IRE,5,18,1,4,0,5,"Twickenham, London",N
22 Feb 1964,Sat,1964,5N,,IRE,SCO,3,6,0,0,1,4,"Lansdowne Rd, Dublin",N
22 Feb 1964,Sat,1964,5N,,FRA,ENG,3,6,1,1,1,4,"Stade Colombes, Paris",N
07 Mar 1964,Sat,1964,5N,,IRE,WAL,6,15,0,3,0,4,"Lansdowne Rd, Dublin",N
21 Mar 1964,Sat,1964,5N CA,,SCO,ENG,15,6,3,1,4,0,"Murrayfield, Edinburgh",N
21 Mar 1964,Sat,1964,5N,,WAL,FRA,11,11,1,1,2,2,Cardiff Arms Park,N
29 Mar 1964,Sun,1964,,,ITA,FRA,3,12,0,1,0,4,"Stade Comunale, Parma",N
11 Apr 1964,Sat,1964,5N,,FRA,IRE,27,6,6,1,5,0,"Stade Colombes, Paris",N
23 May 1964,Sat,1964,ST,,SAF,WAL,24,3,3,0,4,0,"Kings Park Stadium, Durban",N
25 Jul 1964,Sat,1964,ST,,SAF,FRA,6,8,1,1,1,4,Springs,N
15 Aug 1964,Sat,1964,BC,n ,NZL,AUS,14,9,1,1,4,1,"Carisbrook, Dunedin",N
22 Aug 1964,Sat,1964,BC,n ,NZL,AUS,18,3,4,1,5,0,"Lancaster Park, Christchurch",N
29 Aug 1964,Sat,1964,BC,n ,NZL,AUS,5,20,1,2,0,4,"Athletic Park, Wellington",N
17 Oct 1964,Sat,1964,TO,,FRA,FIJ,21,3,5,1,5,0,"Stade Colombes, Paris",N
29 Nov 1964,Sun,1964,,,ROM,FRA,6,9,1,2,1,4,Bucharest,N
09 Jan 1965,Sun,1965,5N,,FRA,SCO,16,8,4,2,5,0,"Stade Colombes, Paris",N
16 Jan 1965,Sun,1965,5N,,WAL,ENG,14,3,3,0,4,0,Cardiff Arms Park,N
23 Jan 1965,Sun,1965,5N,,IRE,FRA,3,3,1,1,2,2,"Lansdowne Rd, Dublin",N
06 Feb 1965,Sat,1965,5N,,SCO,WAL,12,14,0,2,1,4,"Murrayfield, Edinburgh",N
13 Feb 1965,Sat,1965,5N,,IRE,ENG,5,0,1,0,4,1,"Lansdowne Rd, Dublin",N
27 Feb 1965,Sat,1965,5N,,SCO,IRE,6,16,0,3,0,4,"Murrayfield, Edinburgh",N
27 Feb 1965,Sat,1965,5N,,ENG,FRA,9,6,1,1,4,1,"Twickenham, London",N
13 Mar 1965,Sat,1965,5N,,WAL,IRE,14,8,2,1,4,0,Cardiff Arms Park,N
20 Mar 1965,Sat,1965,5N CA,,ENG,SCO,3,3,1,0,2,2,"Twickenham, London",N
27 Mar 1965,Sat,1965,5N,,FRA,WAL,22,13,4,3,5,0,"Stade Colombes, Paris",N
10 Apr 1965,Sat,1965,TO,,IRE,SAF,9,6,1,1,4,1,"Lansdowne Rd, Dublin",N
17 Apr 1965,Sat,1965,TO,,SCO,SAF,8,5,1,1,4,1,"Murrayfield, Edinburgh",N
18 Apr 1965,Sun,1965,,,FRA,ITA,21,0,5,0,5,0,Pau,N
19 Jun 1965,Sat,1965,TO,,AUS,SAF,18,11,2,2,4,0,"Cricket Ground, Sydney",N
26 Jun 1965,Sat,1965,TO,,AUS,SAF,12,8,0,2,4,1,"Lang Park, Brisbane",N
31 Jul 1965,Sat,1965,TO,1,NZL,SAF,6,3,2,0,4,1,"Athletic Park, Wellington",N
21 Aug 1965,Sat,1965,TO,2,NZL,SAF,13,0,3,0,4,0,"Carisbrook, Dunedin",N
04 Sep 1965,Sat,1965,TO,3,NZL,SAF,16,19,3,4,1,5,"Lancaster Park, Christchurch",N
18 Sep 1965,Sat,1965,TO,4,NZL,SAF,20,3,5,0,5,0,"Eden Park, Auckland",N
28 Nov 1965,Sun,1965,,,FRA,ROM,8,3,2,0,4,1,Lyon,N
08 Dec 1965,Wed,1965,,,ITA,CZR,11,0,3,0,4,0,Livorno,N
15 Jan 1966,Sun,1966,5N,,SCO,FRA,3,3,1,0,2,2,"Murrayfield, Edinburgh",N
15 Jan 1966,Sun,1966,5N,,ENG,WAL,6,11,1,1,1,4,"Twickenham, London",N
29 Jan 1966,Sun,1966,5N,,FRA,IRE,11,6,2,0,4,1,"Stade Colombes, Paris",N
05 Feb 1966,Sat,1966,5N,,WAL,SCO,8,3,2,0,4,1,Cardiff Arms Park,N
12 Feb 1966,Sat,1966,5N,,ENG,IRE,6,6,1,1,2,2,"Twickenham, London",N
26 Feb 1966,Sat,1966,5N,,IRE,SCO,3,11,0,3,0,4,"Lansdowne Rd, Dublin",N
26 Feb 1966,Sat,1966,5N,,FRA,ENG,13,0,3,0,4,0,"Stade Colombes, Paris",N
12 Mar 1966,Sat,1966,5N,,IRE,WAL,9,6,1,1,4,1,"Lansdowne Rd, Dublin",N
19 Mar 1966,Sat,1966,5N CA,,SCO,ENG,6,3,1,0,4,1,"Murrayfield, Edinburgh",N
26 Mar 1966,Sat,1966,5N,,WAL,FRA,9,8,1,2,4,1,Cardiff Arms Park,N
09 Apr 1966,Sat,1966,,,ITA,FRA,0,21,0,4,0,5,Naples,N
28 May 1966,Sat,1966,LT,1,AUS,LIO,8,11,1,2,1,4,"Cricket Ground, Sydney",N
04 Jun 1966,Sat,1966,LT,2,AUS,LIO,0,31,0,5,0,5,"Lang Park, Brisbane",N
16 Jul 1966,Sat,1966,LT,1,NZL,LIO,20,3,3,0,4,0,"Carisbrook, Dunedin",N
06 Aug 1966,Sat,1966,LT,2,NZL,LIO,16,12,3,0,4,1,"Athletic Park, Wellington",N
27 Aug 1966,Sat,1966,LT,3,NZL,LIO,19,6,3,2,4,0,"Lancaster Park, Christchurch",N
10 Sep 1966,Sat,1966,LT,4,NZL,LIO,24,11,4,2,5,0,"Eden Park, Auckland",N
06 Nov 1966,Sun,1966,,,ITA,ROM,3,0,0,0,4,1,L'Aquila,N
27 Nov 1966,Sun,1966,,,ROM,FRA,3,9,0,2,0,4,Bucharest,N
03 Dec 1966,Sat,1966,TO,,WAL,AUS,11,14,2,2,1,4,Cardiff Arms Park,N
17 Dec 1966,Sat,1966,TO,,SCO,AUS,11,5,2,1,4,0,"Murrayfield, Edinburgh",N
07 Jan 1967,Sun,1967,TO,,ENG,AUS,11,23,1,2,0,4,"Twickenham, London",N
14 Jan 1967,Sun,1967,5N,,FRA,SCO,8,9,2,0,1,4,"Stade Colombes, Paris",N
21 Jan 1967,Sun,1967,TO,,IRE,AUS,15,8,2,1,4,0,"Lansdowne Rd, Dublin",N
04 Feb 1967,Sat,1967,5N,,SCO,WAL,11,5,2,1,4,0,"Murrayfield, Edinburgh",N
11 Feb 1967,Sat,1967,TO,,FRA,AUS,20,14,1,2,4,0,"Stade Colombes, Paris",N
11 Feb 1967,Sat,1967,5N,,IRE,ENG,3,8,0,1,1,4,"Lansdowne Rd, Dublin",N
25 Feb 1967,Sat,1967,5N,,SCO,IRE,3,5,0,1,1,4,"Murrayfield, Edinburgh",N
25 Feb 1967,Sat,1967,5N,,ENG,FRA,12,16,0,2,1,4,"Twickenham, London",N
11 Mar 1967,Sat,1967,5N,,WAL,IRE,0,3,0,1,1,4,Cardiff Arms Park,N
18 Mar 1967,Sat,1967,5N CA,,ENG,SCO,27,14,4,2,5,0,"Twickenham, London",N
26 Mar 1967,Sun,1967,,,FRA,ITA,60,13,11,3,5,0,Toulon,N
01 Apr 1967,Sat,1967,5N,,FRA,WAL,20,14,3,1,4,0,"Stade Colombes, Paris",N
15 Apr 1967,Sat,1967,5N,,IRE,FRA,6,11,1,1,1,4,"Lansdowne Rd, Dublin",N
15 Apr 1967,Sat,1967,5N,,WAL,ENG,34,21,5,3,5,0,Cardiff Arms Park,N
07 May 1967,Sun,1967,,,ITA,POR,6,3,0,0,4,1,Genoa,N
13 May 1967,Sat,1967,ST,,AUS,IRE,5,11,1,2,0,4,"Cricket Ground, Sydney",N
14 May 1967,Sun,1967,,,ROM,ITA,24,3,5,0,5,0,Bucharest,N
15 Jul 1967,Sat,1967,ST,,SAF,FRA,26,3,5,1,5,0,"Kings Park Stadium, Durban",N
22 Jul 1967,Sat,1967,ST,,SAF,FRA,16,3,3,0,4,0,"Vodacom Park, Bloemfontein",N
29 Jul 1967,Sat,1967,ST,,SAF,FRA,14,19,2,2,1,4,"Ellis Park, Johannesburg",N
12 Aug 1967,Sat,1967,,,SAF,FRA,6,6,0,1,2,2,"Newlands, Cape Town",N
19 Aug 1967,Sat,1967,BC,n ,NZL,AUS,29,9,4,2,5,0,"Athletic Park, Wellington",N
04 Nov 1967,Sat,1967,TO,,ENG,NZL,11,23,2,5,0,5,"Twickenham, London",N
11 Nov 1967,Sat,1967,TO,,WAL,NZL,6,13,0,2,0,4,Cardiff Arms Park,N
25 Nov 1967,Sat,1967,TO,,FRA,NZL,15,21,1,4,0,5,"Stade Colombes, Paris",N
02 Dec 1967,Sat,1967,TO,,SCO,NZL,3,14,0,2,0,4,"Murrayfield, Edinburgh",N
10 Dec 1967,Sun,1967,,,FRA,ROM,11,3,1,0,4,0,Nantes,N
13 Jan 1968,Sun,1968,5N,,SCO,FRA,6,8,1,2,1,4,"Murrayfield, Edinburgh",N
20 Jan 1968,Sun,1968,5N,,ENG,WAL,11,11,2,2,2,2,"Twickenham, London",N
27 Jan 1968,Sun,1968,5N,,FRA,IRE,16,6,2,0,4,0,"Stade Colombes, Paris",N
03 Feb 1968,Sat,1968,5N,,WAL,SCO,5,0,1,0,4,1,Cardiff Arms Park,N
10 Feb 1968,Sat,1968,5N,,ENG,IRE,9,9,0,0,2,2,"Twickenham, London",N
24 Feb 1968,Sat,1968,5N,,IRE,SCO,14,6,3,0,4,0,"Lansdowne Rd, Dublin",N
24 Feb 1968,Sat,1968,5N,,FRA,ENG,14,9,1,0,4,1,"Stade Colombes, Paris",N
09 Mar 1968,Sat,1968,5N,,IRE,WAL,9,6,1,0,4,1,"Lansdowne Rd, Dublin",N
16 Mar 1968,Sat,1968,5N CA,,SCO,ENG,6,8,0,1,1,4,"Murrayfield, Edinburgh",N
23 Mar 1968,Sat,1968,5N,,WAL,FRA,9,14,1,2,1,4,Cardiff Arms Park,N
05 May 1968,Sun,1968,,,CZR,FRA,6,19,0,5,0,5,Prague,N
12 May 1968,Sun,1968,,,POR,ITA,3,17,0,4,0,5,Lisbon,N
08 Jun 1968,Sat,1968,LT,1,SAF,LIO,25,20,3,1,4,1,"Loftus Versfeld, Pretoria",N
15 Jun 1968,Sat,1968,BC,n ,AUS,NZL,11,27,1,6,0,5,"Cricket Ground, Sydney",N
22 Jun 1968,Sat,1968,LT,2,SAF,LIO,6,6,0,0,2,2,"Boet Erasmus, Pt Elizabeth",N
22 Jun 1968,Sat,1968,BC,n ,AUS,NZL,18,19,1,3,1,4,"Ballymore, Brisbane",N
13 Jul 1968,Sat,1968,ST,,NZL,FRA,12,9,1,0,4,1,"Lancaster Park, Christchurch",N
13 Jul 1968,Sat,1968,LT,3,SAF,LIO,11,6,1,0,4,1,"Newlands, Cape Town",N
27 Jul 1968,Sat,1968,ST,,NZL,FRA,9,3,0,0,4,0,"Athletic Park, Wellington",N
27 Jul 1968,Sat,1968,LT,4,SAF,LIO,19,6,4,0,5,0,"Ellis Park, Johannesburg",N
10 Aug 1968,Sat,1968,ST,,NZL,FRA,19,12,2,3,4,0,"Eden Park, Auckland",N
17 Aug 1968,Sat,1968,TO,,AUS,FRA,11,10,1,2,4,1,"Cricket Ground, Sydney",N
26 Oct 1968,Sat,1968,TO,,IRE,AUS,10,3,2,1,4,0,"Lansdowne Rd, Dublin",N
