Date,Day,Year,Tourn,Rnd,Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Tries,Team_2_Tries,Team_1_Points,Team_2_Points,Venue,Neut.
02 Nov 1968,Sat,1968,TO,,SCO,AUS,9,3,1,0,4,0,"Murrayfield, Edinburgh",N
09 Nov 1968,Sat,1968,TO,,FRA,SAF,9,12,3,0,1,4,"Stade Municipal, Bordeaux",N
16 Nov 1968,Sat,1968,TO,,FRA,SAF,11,16,1,3,1,4,"Stade Colombes, Paris",N
01 Dec 1968,Sun,1968,,,ROM,FRA,15,14,0,1,4,1,Bucharest,N
11 Jan 1969,Sun,1969,5N,,FRA,SCO,3,6,0,1,1,4,"Stade Colombes, Paris",N
25 Jan 1969,Sun,1969,5N,,IRE,FRA,17,9,1,1,4,0,"Lansdowne Rd, Dublin",N
01 Feb 1969,Sat,1969,5N,,SCO,WAL,3,17,0,3,0,4,"Murrayfield, Edinburgh",N
08 Feb 1969,Sat,1969,5N,,IRE,ENG,17,15,2,1,4,1,"Lansdowne Rd, Dublin",N
22 Feb 1969,Sat,1969,5N,,SCO,IRE,0,16,0,4,0,5,"Murrayfield, Edinburgh",N
22 Feb 1969,Sat,1969,5N,,ENG,FRA,22,8,3,1,4,0,"Twickenham, London",N
08 Mar 1969,Sat,1969,5N,,WAL,IRE,24,11,4,1,5,0,Cardiff Arms Park,N
15 Mar 1969,Sat,1969,5N CA,,ENG,SCO,8,3,2,0,4,1,"Twickenham, London",N
22 Mar 1969,Sat,1969,5N,,FRA,WAL,8,8,1,2,2,2,"Stade Colombes, Paris",N
12 Apr 1969,Sat,1969,5N,,WAL,ENG,30,9,5,0,5,0,Cardiff Arms Park,N
31 May 1969,Sat,1969,ST,1,NZL,WAL,19,0,4,0,5,0,"Lancaster Park, Christchurch",N
14 Jun 1969,Sat,1969,ST,2,NZL,WAL,33,12,3,2,4,0,"Eden Park, Auckland",N
21 Jun 1969,Sat,1969,ST,,AUS,WAL,16,19,2,3,1,4,"Cricket Ground, Sydney",N
02 Aug 1969,Sat,1969,TO,,SAF,AUS,30,11,5,1,5,0,"Ellis Park, Johannesburg",N
16 Aug 1969,Sat,1969,TO,,SAF,AUS,16,9,3,0,4,0,"Kings Park Stadium, Durban",N
06 Sep 1969,Sat,1969,TO,,SAF,AUS,11,3,2,0,4,0,"Newlands, Cape Town",N
20 Sep 1969,Sat,1969,TO,,SAF,AUS,19,8,3,1,4,0,"Vodacom Park, Bloemfontein",N
06 Dec 1969,Sat,1969,TO,,SCO,SAF,6,3,1,0,4,1,"Murrayfield, Edinburgh",N
14 Dec 1969,Sun,1969,,,FRA,ROM,14,9,1,0,4,1,Tarbes,N
20 Dec 1969,Sat,1969,TO,,ENG,SAF,11,8,2,1,4,1,"Twickenham, London",N
10 Jan 1970,Sat,1970,TO,,IRE,SAF,8,8,1,1,2,2,"Lansdowne Rd, Dublin",N
10 Jan 1970,Sat,1970,5N,,SCO,FRA,9,11,1,2,1,4,"Murrayfield, Edinburgh",N
24 Jan 1970,Sat,1970,TO,,WAL,SAF,6,6,1,1,2,2,Cardiff Arms Park,N
24 Jan 1970,Sat,1970,5N,,FRA,IRE,8,0,1,0,4,0,"Stade Colombes, Paris",N
07 Feb 1970,Sat,1970,5N,,WAL,SCO,18,9,4,1,5,0,Cardiff Arms Park,N
14 Feb 1970,Sat,1970,5N,,ENG,IRE,9,3,1,0,4,0,"Twickenham, London",N
28 Feb 1970,Sat,1970,5N,,IRE,SCO,16,11,4,2,5,1,"Lansdowne Rd, Dublin",N
28 Feb 1970,Sat,1970,5N,,ENG,WAL,13,17,2,4,1,5,"Twickenham, London",N
14 Mar 1970,Sat,1970,5N,,IRE,WAL,14,0,2,0,4,0,"Lansdowne Rd, Dublin",N
21 Mar 1970,Sat,1970,5N CA,,SCO,ENG,14,5,2,1,4,0,"Murrayfield, Edinburgh",N
04 Apr 1970,Sat,1970,5N,,WAL,FRA,11,6,1,2,4,1,Cardiff Arms Park,N
18 Apr 1970,Sat,1970,5N,,FRA,ENG,35,13,6,2,5,0,"Stade Colombes, Paris",N
06 Jun 1970,Sat,1970,ST,,AUS,SCO,23,3,6,0,5,0,"Cricket Ground, Sydney",N
25 Jul 1970,Sat,1970,TO,1,SAF,NZL,17,6,2,1,4,0,"Loftus Versfeld, Pretoria",N
08 Aug 1970,Sat,1970,TO,2,SAF,NZL,8,9,1,2,1,4,"Newlands, Cape Town",N
29 Aug 1970,Sat,1970,TO,3,SAF,NZL,14,3,2,0,4,0,"Boet Erasmus, Pt Elizabeth",N
12 Sep 1970,Sat,1970,TO,4,SAF,NZL,20,17,2,1,4,1,"Ellis Park, Johannesburg",N
13 Sep 1970,Sun,1970,TO,1,ARG,IRE,8,3,2,1,4,1,"FC Oeste, Buenos Aires",N
20 Sep 1970,Sun,1970,TO,2,ARG,IRE,6,3,0,0,4,1,"FC Oeste, Buenos Aires",N
29 Nov 1970,Sun,1970,,,ROM,FRA,3,14,0,1,0,4,Bucharest,N
16 Jan 1971,Sat,1971,5N,,WAL,ENG,22,6,3,1,4,0,Cardiff Arms Park,N
16 Jan 1971,Sat,1971,5N,,FRA,SCO,13,8,2,1,4,1,"Stade Colombes, Paris",N
30 Jan 1971,Sat,1971,5N,,IRE,FRA,9,9,1,0,2,2,"Lansdowne Rd, Dublin",N
06 Feb 1971,Sat,1971,5N,,SCO,WAL,18,19,2,4,1,5,"Murrayfield, Edinburgh",N
13 Feb 1971,Sat,1971,5N,,IRE,ENG,6,9,2,0,1,4,"Lansdowne Rd, Dublin",N
27 Feb 1971,Sat,1971,5N,,SCO,IRE,5,17,1,3,0,4,"Murrayfield, Edinburgh",N
27 Feb 1971,Sat,1971,5N,,ENG,FRA,14,14,1,2,2,2,"Twickenham, London",N
13 Mar 1971,Sat,1971,5N,,WAL,IRE,23,9,4,0,5,0,Cardiff Arms Park,N
20 Mar 1971,Sat,1971,5N CA,,ENG,SCO,15,16,2,3,1,4,"Twickenham, London",N
27 Mar 1971,Sat,1971,5N,,FRA,WAL,5,9,1,2,1,4,"Stade Colombes, Paris",N
27 Mar 1971,Sat,1971,,,SCO,ENG,26,6,5,0,5,0,"Murrayfield, Edinburgh",N
12 Jun 1971,Sat,1971,ST,,SAF,FRA,22,9,2,1,4,0,"Vodacom Park, Bloemfontein",N
