19-Mar-05,Sat,2005,6N,5,ITA,FRA,13,56,1,7,0,5,"Stadio Flaminio, Rome",N
19-Mar-05,Sat,2005,6N,5,WAL,IRE,32,20,2,2,4,0,"Millennium Stadium, Cardiff",N
19-Mar-05,Sat,2005,6N,5,ENG,SCO,43,22,7,3,5,0,"Twickenham, London",N
04-Feb-06,Sat,2006,6N,1,IRE,ITA,26,16,2,1,4,0,"Lansdowne Rd, Dublin",N
04-Feb-06,Sat,2006,6N,1,ENG,WAL,47,13,6,1,5,0,"Twickenham, London",N
05-Feb-06,Sun,2006,6N,1,SCO,FRA,20,16,2,2,4,1,"Murrayfield, Edinburgh",N
11-Feb-06,Sat,2006,6N,2,FRA,IRE,43,31,6,4,5,1,"Stade de France, Paris",N
11-Feb-06,Sat,2006,6N,2,ITA,ENG,16,31,1,4,0,5,"Stadio Flaminio, Rome",N
12-Feb-06,Sun,2006,6N,2,WAL,SCO,28,18,4,2,5,0,"Millennium Stadium, Cardiff",N
25-Feb-06,Sat,2006,6N,3,FRA,ITA,37,12,5,0,5,0,"Stade de France, Paris",N
25-Feb-06,Sat,2006,6N,3,SCO,ENG,18,12,0,0,4,1,"Murrayfield, Edinburgh",N
26-Feb-06,Sun,2006,6N,3,IRE,WAL,31,5,3,1,4,0,"Lansdowne Rd, Dublin",N
11-Mar-06,Sat,2006,6N,4,WAL,ITA,18,18,2,2,2,2,"Millennium Stadium, Cardiff",N
11-Mar-06,Sat,2006,6N,4,IRE,SCO,15,9,0,0,4,1,"Lansdowne Rd, Dublin",N
12-Mar-06,Sun,2006,6N,4,FRA,ENG,31,6,3,0,4,0,"Stade de France, Paris",N
18-Mar-06,Sat,2006,6N,5,ITA,SCO,10,13,1,1,1,4,"Stadio Flaminio, Rome",N
18-Mar-06,Sat,2006,6N,5,WAL,FRA,16,21,1,2,1,4,"Millennium Stadium, Cardiff",N
18-Mar-06,Sat,2006,6N,5,ENG,IRE,24,28,2,3,1,4,"Twickenham, London",N
03-Feb-07,Sat,2007,6N,1,ITA,FRA,3,39,0,5,0,5,"Stadio Flaminio, Rome",N
03-Feb-07,Sat,2007,6N,1,ENG,SCO,42,20,4,2,5,0,"Twickenham, London",N
04-Feb-07,Sun,2007,6N,1,WAL,IRE,9,19,0,3,0,4,"Millennium Stadium, Cardiff",N
10-Feb-07,Sat,2007,6N,2,ENG,ITA,20,7,1,1,4,0,"Twickenham, London",N
10-Feb-07,Sat,2007,6N,2,SCO,WAL,21,9,0,0,4,0,"Murrayfield, Edinburgh",N
11-Feb-07,Sun,2007,6N,2,IRE,FRA,17,20,1,2,1,4,"Croke Park, Dublin",N
24-Feb-07,Sat,2007,6N,3,SCO,ITA,17,37,2,4,0,5,"Murrayfield, Edinburgh",N
24-Feb-07,Sat,2007,6N,3,IRE,ENG,43,13,4,1,5,0,"Croke Park, Dublin",N
24-Feb-07,Sat,2007,6N,3,FRA,WAL,32,21,2,3,4,0,"Stade de France, Paris",N
10-Mar-07,Sat,2007,6N,4,SCO,IRE,18,19,0,1,1,4,"Murrayfield, Edinburgh",N
10-Mar-07,Sat,2007,6N,4,ITA,WAL,23,20,2,2,4,1,"Stadio Flaminio, Rome",N
11-Mar-07,Sun,2007,6N,4,ENG,FRA,26,18,2,0,4,0,"Twickenham, London",N
17-Mar-07,Sat,2007,6N,5,ITA,IRE,24,51,2,8,0,5,"Stadio Flaminio, Rome",N
17-Mar-07,Sat,2007,6N,5,FRA,SCO,46,19,6,3,5,0,"Stade de France, Paris",N
17-Mar-07,Sat,2007,6N,5,WAL,ENG,27,18,2,2,4,0,"Millennium Stadium, Cardiff",N
02-Feb-08,Sat,2008,6N,1,IRE,ITA,16,11,1,1,4,1,"Croke Park, Dublin",N
02-Feb-08,Sat,2008,6N,1,ENG,WAL,19,26,1,2,1,4,"Twickenham, London",N
03-Feb-08,Sun,2008,6N,1,SCO,FRA,6,27,0,3,0,4,"Murrayfield, Edinburgh",N
09-Feb-08,Sat,2008,6N,2,WAL,SCO,30,15,3,0,4,0,"Millennium Stadium, Cardiff",N
09-Feb-08,Sat,2008,6N,2,FRA,IRE,26,21,4,2,4,1,"Stade de France, Paris",N
10-Feb-08,Sun,2008,6N,2,ITA,ENG,19,23,1,2,1,4,"Stadio Flaminio, Rome",N
23-Feb-08,Sat,2008,6N,3,WAL,ITA,47,8,5,1,5,0,"Millennium Stadium, Cardiff",N
23-Feb-08,Sat,2008,6N,3,IRE,SCO,34,13,5,1,5,0,"Croke Park, Dublin",N
23-Feb-08,Sat,2008,6N,3,FRA,ENG,13,24,1,2,0,4,"Stade de France, Paris",N
08-Mar-08,Sat,2008,6N,4,IRE,WAL,12,16,0,1,1,4,"Croke Park, Dublin",N
08-Mar-08,Sat,2008,6N,4,SCO,ENG,15,9,0,0,4,1,"Murrayfield, Edinburgh",N
09-Mar-08,Sun,2008,6N,4,FRA,ITA,25,13,3,1,4,0,"Stade de France, Paris",N
15-Mar-08,Sat,2008,6N,5,ITA,SCO,23,20,2,2,4,1,"Stadio Flaminio, Rome",N
15-Mar-08,Sat,2008,6N,5,ENG,IRE,33,10,3,1,4,0,"Twickenham, London",N
15-Mar-08,Sat,2008,6N,5,WAL,FRA,29,12,2,0,4,0,"Millennium Stadium, Cardiff",N
07-Feb-09,Sat,2009,6N,1,ENG,ITA,36,11,5,1,5,0,"Twickenham, London",N
07-Feb-09,Sat,2009,6N,1,IRE,FRA,30,21,3,2,4,0,"Croke Park, Dublin",N
08-Feb-09,Sun,2009,6N,1,SCO,WAL,13,26,1,4,0,5,"Murrayfield, Edinburgh",N
14-Feb-09,Sat,2009,6N,2,FRA,SCO,22,13,1,1,4,0,"Stade de France, Paris",N
14-Feb-09,Sat,2009,6N,2,WAL,ENG,23,15,1,2,4,0,"Millennium Stadium, Cardiff",N
15-Feb-09,Sun,2009,6N,2,ITA,IRE,9,38,0,5,0,5,"Stadio Flaminio, Rome",N
27-Feb-09,Fri,2009,6N,3,FRA,WAL,21,16,2,1,4,1,"Stade de France, Paris",N
28-Feb-09,Sat,2009,6N,3,SCO,ITA,26,6,2,0,4,0,"Murrayfield, Edinburgh",N
28-Feb-09,Sat,2009,6N,3,IRE,ENG,14,13,1,1,4,1,"Croke Park, Dublin",N
14-Mar-09,Sat,2009,6N,4,ITA,WAL,15,20,0,2,1,4,"Stadio Flaminio, Rome",N
14-Mar-09,Sat,2009,6N,4,SCO,IRE,15,22,0,1,1,4,"Murrayfield, Edinburgh",N
15-Mar-09,Sun,2009,6N,4,ENG,FRA,34,10,5,2,5,0,"Twickenham, London",N
21-Mar-09,Sat,2009,6N,5,ITA,FRA,8,50,1,7,0,5,"Stadio Flaminio, Rome",N
21-Mar-09,Sat,2009,6N,5,WAL,IRE,15,17,0,2,1,4,"Millennium Stadium, Cardiff",N
21-Mar-09,Sat,2009,6N,5,ENG,SCO,26,12,3,0,4,0,"Twickenham, London",N
06-Feb-10,Sat,2010,6N,1,IRE,ITA,29,11,2,1,4,0,"Croke Park, Dublin",N
06-Feb-10,Sat,2010,6N,1,ENG,WAL,30,17,3,2,4,0,"Twickenham, London",N
07-Feb-10,Sun,2010,6N,1,SCO,FRA,9,18,0,2,0,4,"Murrayfield, Edinburgh",N
13-Feb-10,Sat,2010,6N,2,WAL,SCO,31,24,3,2,4,1,"Millennium Stadium, Cardiff",N
13-Feb-10,Sat,2010,6N,2,FRA,IRE,33,10,3,1,4,0,"Stade de France, Paris",N
14-Feb-10,Sun,2010,6N,2,ITA,ENG,12,17,0,1,1,4,"Stadio Flaminio, Rome",N
26-Feb-10,Fri,2010,6N,3,WAL,FRA,20,26,2,2,1,4,"Millennium Stadium, Cardiff",N
27-Feb-10,Sat,2010,6N,3,ITA,SCO,16,12,1,0,4,1,"Stadio Flaminio, Rome",N
27-Feb-10,Sat,2010,6N,3,ENG,IRE,16,20,1,3,1,4,"Twickenham, London",N
13-Mar-10,Sat,2010,6N,4,IRE,WAL,27,12,3,0,4,0,"Croke Park, Dublin",N
13-Mar-10,Sat,2010,6N,4,SCO,ENG,15,15,0,0,2,2,"Murrayfield, Edinburgh",N
14-Mar-10,Sun,2010,6N,4,FRA,ITA,46,20,6,2,5,0,"Stade de France, Paris",N
20-Mar-10,Sat,2010,6N,5,FRA,ENG,12,10,0,1,4,1,"Stade de France, Paris",N
20-Mar-10,Sat,2010,6N,5,WAL,ITA,33,10,3,1,4,0,"Millennium Stadium, Cardiff",N
20-Mar-10,Sat,2010,6N,5,IRE,SCO,20,23,2,1,1,4,"Croke Park, Dublin",N
04-Feb-11,Fri,2011,6N,1,WAL,ENG,19,26,1,2,1,4,"Millennium Stadium, Cardiff",N
05-Feb-11,Sat,2011,6N,1,ITA,IRE,11,13,1,1,1,4,"Stadio Flaminio, Rome",N
05-Feb-11,Sat,2011,6N,1,FRA,SCO,34,21,4,3,5,0,"Stade de France, Paris",N
12-Feb-11,Sat,2011,6N,2,ENG,ITA,59,13,8,1,5,0,"Twickenham, London",N
12-Feb-11,Sat,2011,6N,2,SCO,WAL,6,24,0,2,0,4,"Murrayfield, Edinburgh",N
