Date,Open,High,Low,Close
2013-04-16,390.754,395.428,389.427,394.122
2013-04-17,390.833,392.865,386.536,388.752
2013-04-18,390.138,390.361,378.17,380.48
2013-04-19,382.095,399.124,380.654,397.351
2013-04-22,397.713,399.382,384.996,397.47
2013-04-23,397.912,405.115,397.594,401.34
2013-04-24,401.444,406.357,401.389,404.097
2013-04-25,405.488,405.597,401.206,401.936
2013-04-26,401.191,401.26,395.716,398.121
2013-04-29,399.03,408.692,398.906,406.884
2013-04-30,406.854,411.146,406.198,409.621
2013-05-01,408.97,409.695,405.542,407.564
2013-05-02,407.4,414.579,406.879,412.125
2013-05-03,415.776,420.664,415.299,420.127
2013-05-06,421.389,428.14,421.389,427.991
2013-05-07,428.717,429.144,422.586,425.845
2013-05-08,425.731,434.116,423.699,433.992
2013-05-09,432.606,436.988,431.31,432.924
2013-05-10,434.827,437.425,433.262,437.271
2013-05-13,436.605,438.384,433.868,435.93
2013-05-14,435.915,441.474,435.736,440.684
2013-05-15,444.857,455.229,444.121,454.986
2013-05-16,456.531,457.018,448.091,449.015
2013-05-17,452.07,453.794,447.35,451.652
2013-05-20,449.576,457.326,449.576,451.33
2013-05-21,451.076,452.884,445.905,450.555
2013-05-22,448.364,451.717,440.574,441.836
2013-05-23,435.666,442.105,434.176,438.543
2013-05-24,434.802,436.571,432.691,433.838
2013-05-28,438.895,443.188,437.355,437.788
2013-05-29,435.026,436.158,429.352,431.349
2013-05-30,432.149,436.61,430.406,432.567
2013-05-31,431.255,435.666,430.957,432.795
2013-06-03,433.679,434.161,424.747,431.012
2013-06-04,431.121,432.482,424.275,426.774
2013-06-05,428.468,431.916,425.796,427.072
2013-06-06,429.357,430.366,420.873,429.526
2013-06-07,432.398,437.157,429.864,437.023
2013-06-10,438.2,442.621,437.201,442.234
2013-06-11,439.129,440.634,436.918,437.062
2013-06-12,439.869,440.137,432.015,433.173
2013-06-13,431.682,436.988,429.954,435.666
2013-06-14,437.206,439.492,434.241,434.693
2013-06-17,436.774,441.841,436.302,440.262
2013-06-18,441.454,447.589,441.305,447.4
2013-06-19,447.773,452.477,445.85,447.43
2013-06-20,444.107,447.589,438.801,439.511
2013-06-21,441.3,442.065,433.714,437.619
2013-06-24,433.123,435.329,428.836,432.085
2013-06-25,435.796,436.998,429.462,430.301
2013-06-26,434.052,436.163,432.472,434.002
2013-06-27,436.561,439.487,435.493,435.701
2013-06-28,434.623,438.071,434.27,437.341
2013-07-01,440.361,443.158,439.641,441.071
2013-07-02,442.224,442.621,435.801,438.304
2013-07-03,437.107,441.712,436.412,440.351
2013-07-05,442.129,444.812,440.803,443.858
2013-07-08,446.7,450.207,445.642,449.621
2013-07-09,452.557,453.525,446.089,449.695
2013-07-10,448.806,452.626,447.281,450.068
2013-07-11,453.55,457.43,451.325,457.147
2013-07-12,457.027,458.518,454.663,458.518
2013-07-15,459.164,461.002,455.219,459.357
2013-07-16,460.569,460.987,453.997,456.834
2013-07-17,457.524,460.435,455.189,456.307
2013-07-18,456.526,457.027,448.677,452.398
2013-07-19,440.44,448.558,434.976,445.403
2013-07-22,448.086,453.386,445.602,452.408
2013-07-23,452.408,453.55,446.878,448.98
2013-07-24,450.699,452.209,447.44,448.533
2013-07-25,444.047,445.527,440.177,440.982
2013-07-26,440.629,442.119,438.15,439.814
2013-07-29,439.591,444.519,437.599,438.284
2013-07-30,439.869,444.911,437.589,442.581
2013-07-31,443.61,445.358,440.227,441.007
2013-08-01,444.608,449.352,444.608,449.188
2013-08-02,448.801,450.569,447.499,450.356
2013-08-05,449.77,449.834,446.695,449.576
2013-08-06,449.422,451.916,444.971,445.388
2013-08-07,444.628,446.322,441.672,442.447
2013-08-08,444.852,445.026,439.785,443.446
2013-08-09,442.403,444.867,442.124,442.328
2013-08-12,440.584,440.634,437.976,439.894
2013-08-13,440.55,441.379,435.269,437.778
2013-08-14,436.347,437.271,430.778,432.095
2013-08-15,429.427,429.665,426.228,427.052
2013-08-16,427.857,428.433,425.503,425.686
2013-08-19,426.084,433.183,425.955,430.028
2013-08-20,431.369,433.237,428.98,429.914
2013-08-21,432.512,435.622,430.45,431.856
2013-08-22,433.53,434.549,432.313,434.032
2013-08-23,436.079,436.163,432.065,432.293
2013-08-26,432.189,434.623,430.227,430.396
2013-08-27,427.033,429.074,421.21,422.328
2013-08-28,422.378,424.941,421.146,421.533
2013-08-29,421.792,427.41,421.553,424.951
2013-08-30,425.115,426.248,420.048,420.714
2013-09-03,424.42,430.296,424.216,427.41
2013-09-04,427.395,433.928,424.822,432.999
2013-09-05,433.928,437.097,432.989,436.938
2013-09-06,438.369,439.035,434.047,436.948
2013-09-09,439.01,442.0,438.359,441.156
2013-09-10,442.134,443.118,439.144,441.464
2013-09-11,441.399,445.587,440.177,445.199
2013-09-12,445.801,446.049,442.129,443.645
2013-09-13,444.36,444.946,439.561,441.662
2013-09-16,445.204,445.602,439.576,441.012
2013-09-17,440.838,441.325,437.653,440.192
2013-09-18,440.311,449.064,438.682,448.741
2013-09-19,450.068,450.068,444.807,446.292
2013-09-20,446.292,449.144,444.916,448.637
2013-09-23,445.18,447.882,439.74,440.386
2013-09-24,440.386,442.174,437.852,440.555
2013-09-25,440.411,440.411,434.971,435.781
2013-09-26,436.312,438.523,434.673,436.248
2013-09-27,434.583,435.925,432.84,435.363
2013-09-30,431.732,437.574,431.349,435.125
2013-10-01,437.281,440.967,437.182,440.634
2013-10-02,438.513,441.806,436.074,441.126
2013-10-03,441.131,444.161,433.232,435.214
2013-10-04,434.673,435.92,432.189,433.356
2013-10-07,430.922,434.171,429.263,430.073
2013-10-08,429.864,430.192,423.063,424.077
2013-10-09,425.373,428.538,418.766,425.165
2013-10-10,429.129,431.608,427.326,431.315
2013-10-11,430.217,433.918,429.854,433.178
2013-10-14,430.53,435.294,429.899,435.224
2013-10-15,435.05,439.954,434.176,438.155
2013-10-16,440.073,446.262,439.149,446.113
2013-10-17,443.61,445.552,440.003,441.523
2013-10-18,485.135,504.449,483.853,502.437
2013-10-21,502.462,506.208,496.545,498.408
2013-10-22,499.253,503.227,494.678,500.246
2013-10-23,497.266,514.032,497.082,512.372
2013-10-24,512.601,516.923,509.089,509.461
2013-10-25,511.086,511.086,502.104,504.32
2013-10-28,504.32,508.408,503.222,504.221
2013-10-29,506.257,515.12,503.475,514.772
2013-10-30,515.363,515.403,509.685,511.881
2013-10-31,511.141,517.395,508.677,511.96
2013-11-01,512.561,514.653,509.238,510.202
2013-11-04,512.417,512.849,507.713,509.74
2013-11-05,506.878,512.492,505.423,507.459
2013-11-06,509.486,510.182,504.404,508.07
2013-11-07,508.001,508.657,500.564,500.718
2013-11-08,501.116,505.959,500.992,504.732
2013-11-11,501.493,504.683,500.743,502.03
2013-11-12,500.594,505.492,499.253,502.621
2013-11-13,500.122,513.088,499.998,512.899
2013-11-14,513.619,516.516,511.846,514.27
2013-11-15,514.091,515.646,511.826,513.441
2013-11-18,514.529,520.982,511.295,512.442
2013-11-19,512.526,514.032,508.22,509.288
2013-11-20,511.647,513.341,506.883,507.852
2013-11-21,510.182,515.8,509.685,513.694
2013-11-22,513.371,514.737,511.285,512.611
2013-11-25,515.229,523.192,514.166,519.586
2013-11-26,520.912,527.32,518.1,525.785
2013-11-27,527.584,530.549,526.575,528.12
2013-11-29,527.648,529.864,526.302,526.371
2013-12-02,528.319,529.73,521.985,523.833
2013-12-03,522.079,528.284,521.121,523.227
2013-12-04,522.288,528.552,521.607,525.671
2013-12-05,525.184,526.406,522.149,525.254
2013-12-06,531.438,531.543,526.615,531.478
2013-12-09,532.035,537.658,530.559,535.587
2013-12-10,534.598,542.626,534.35,538.825
2013-12-11,540.187,542.134,534.111,535.164
2013-12-12,536.297,537.971,531.046,531.523
2013-12-13,534.225,534.667,525.527,526.968
2013-12-16,528.562,533.873,527.574,533.023
2013-12-17,532.944,536.888,530.738,531.473
2013-12-18,532.462,538.97,526.098,538.87
2013-12-19,536.893,542.467,536.053,539.6
2013-12-20,540.634,547.027,540.485,546.754
2013-12-23,550.341,554.295,548.989,553.947
2013-12-24,553.883,554.017,550.47,552.328
2013-12-26,553.406,555.885,550.763,555.12
2013-12-27,556.381,556.52,552.874,555.586
2013-12-30,556.55,556.63,550.927,551.145
2013-12-31,552.526,556.878,549.556,556.734
2014-01-02,554.126,555.264,550.549,552.964
2014-01-03,553.897,554.856,548.895,548.93
2014-01-06,552.909,555.815,549.645,555.05
2014-01-07,558.865,566.163,556.958,565.75
2014-01-08,569.297,569.953,562.983,566.928
2014-01-09,568.026,568.413,559.143,561.468
2014-01-10,565.86,565.86,557.499,561.438
2014-01-13,559.595,569.749,554.975,557.862
2014-01-14,565.298,571.781,560.4,570.986
2014-01-15,572.77,573.768,568.199,570.599
2014-01-16,570.837,575.224,570.291,574.374
2014-01-17,574.687,576.565,568.403,571.548
2014-01-21,576.714,578.239,571.93,578.09
2014-01-22,579.536,580.172,575.686,578.746
2014-01-23,576.252,577.489,573.455,576.302
2014-01-24,571.786,573.048,557.872,558.284
2014-01-27,559.412,559.61,537.638,547.057
2014-01-28,551.573,559.238,551.384,557.877
2014-01-29,555.944,557.251,546.158,549.884
2014-01-30,568.8,572.521,559.983,564.027
2014-01-31,581.89,589.436,571.846,586.669
2014-02-03,585.79,587.042,562.347,563.053
2014-02-04,565.318,573.768,564.831,565.403
2014-02-05,567.996,571.667,560.365,567.906
2014-02-06,571.846,576.332,570.067,576.232
2014-02-07,580.042,585.144,576.53,584.916
2014-02-10,582.114,587.38,580.733,582.675
2014-02-11,586.272,592.084,582.318,591.245
2014-02-12,590.658,591.155,586.873,589.511
2014-02-13,586.56,596.073,586.018,596.073
2014-02-14,593.942,598.304,592.546,597.514
2014-02-18,596.823,602.516,596.123,601.528
2014-02-19,598.756,600.703,594.881,597.285
2014-02-20,597.683,599.546,596.232,598.164
2014-02-21,600.003,601.026,597.534,598.006
2014-02-24,598.785,606.138,598.656,602.337
2014-02-25,604.041,608.294,601.299,606.058
2014-02-26,608.045,610.469,602.958,606.143
2014-02-27,605.258,608.159,604.573,605.666
2014-02-28,606.227,608.14,599.213,603.897
2014-03-03,599.476,600.017,592.218,597.459
2014-03-04,603.574,604.071,600.842,603.53
2014-03-05,603.599,607.588,601.791,605.194
2014-03-06,607.191,609.113,605.363,605.864
2014-03-07,609.436,609.531,601.806,603.47
2014-03-10,603.917,604.886,598.155,601.87
2014-03-11,602.963,603.237,594.454,596.118
2014-03-12,594.334,600.022,588.269,599.749
2014-03-13,600.072,601.339,588.552,590.688
2014-03-14,587.176,591.587,582.477,582.611
2014-03-17,585.815,594.667,585.249,592.198
2014-03-18,593.475,601.851,592.675,601.716
2014-03-19,601.985,602.079,593.346,595.75
2014-03-20,596.098,600.897,593.818,594.712
2014-03-21,599.257,600.907,587.404,587.698
2014-03-24,588.269,588.622,569.272,575.224
2014-03-25,579.233,581.14,569.794,575.616
2014-03-26,577.251,582.0,562.094,562.328
2014-03-27,564.894,564.894,549.896,555.406
2014-03-28,558.131,563.333,555.615,556.928
2014-03-31,563.79,563.899,553.884,553.924
2014-04-01,555.655,565.341,555.655,564.059
2014-04-02,596.709,601.523,559.116,563.899
2014-04-03,566.734,584.068,561.045,566.624
2014-04-04,571.508,574.61,540.031,540.17
2014-04-07,537.783,545.481,524.267,535.207
2014-04-08,539.633,551.965,538.648,551.866
2014-04-09,556.56,562.278,549.926,561.055
2014-04-10,561.91,561.91,536.948,537.992
2014-04-11,529.638,537.047,523.651,527.698
2014-04-14,535.307,541.125,526.664,529.608
2014-04-15,533.884,535.505,515.625,533.506
2014-04-16,540.031,553.954,537.047,553.497
2014-04-17,545.809,546.495,528.245,533.168
2014-04-21,533.168,533.765,522.726,525.729
2014-04-22,525.749,534.292,524.625,531.885
2014-04-23,530.871,530.951,523.372,524.058
2014-04-24,527.171,528.743,519.265,522.288
2014-04-25,519.653,521.831,512.601,513.357
